2194.0s 195 Epoch [195/250], Loss: 0.0011
2205.5s 196 Epoch [196/250], Loss: 0.3954
2216.5s 197 Epoch [197/250], Loss: 0.0269
2227.7s 198 Epoch [198/250], Loss: 0.0067
2238.9s 199 Epoch [199/250], Loss: 0.0109
2250.1s 200 Epoch [200/250], Loss: 0.0033
2261.7s 201 Epoch [201/250], Loss: 0.0029
2272.9s 202 Epoch [202/250], Loss: 0.0688
2284.1s 203 Epoch [203/250], Loss: 0.2558
2295.1s 204 Epoch [204/250], Loss: 0.1713
2305.8s 205 Epoch [205/250], Loss: 0.0409
2316.8s 206 Epoch [206/250], Loss: 0.0132
2327.9s 207 Epoch [207/250], Loss: 0.0194
2338.8s 208 Epoch [208/250], Loss: 0.0018
2350.2s 209 Epoch [209/250], Loss: 0.0432
2361.2s 210 Epoch [210/250], Loss: 0.0927
2372.4s 211 Epoch [211/250], Loss: 0.0074
2383.8s 212 Epoch [212/250], Loss: 0.0255
2394.5s 213 Epoch [213/250], Loss: 0.0037
2405.5s 214 Epoch [214/250], Loss: 0.0113
2416.9s 215 Epoch [215/250], Loss: 0.0058
2428.3s 216 Epoch [216/250], Loss: 0.0136
2439.4s 217 Epoch [217/250], Loss: 0.1204
2450.8s 218 Epoch [218/250], Loss: 0.0415
2461.8s 219 Epoch [219/250], Loss: 0.1129
2473.3s 220 Epoch [220/250], Loss: 0.0105
2485.2s 221 Epoch [221/250], Loss: 0.0090
2497.0s 222 Epoch [222/250], Loss: 0.0104
2508.9s 223 Epoch [223/250], Loss: 0.0013
2520.5s 224 Epoch [224/250], Loss: 0.0469
2532.3s 225 Epoch [225/250], Loss: 0.0299
2544.3s 226 Epoch [226/250], Loss: 0.0217
2555.8s 227 Epoch [227/250], Loss: 0.0467
2567.4s 228 Epoch [228/250], Loss: 0.0168
2578.9s 229 Epoch [229/250], Loss: 0.0108
2590.2s 230 Epoch [230/250], Loss: 0.0121
2601.4s 231 Epoch [231/250], Loss: 0.0174
2612.6s 232 Epoch [232/250], Loss: 0.0509
2623.6s 233 Epoch [233/250], Loss: 0.0354
2634.5s 234 Epoch [234/250], Loss: 0.0032
2645.7s 235 Epoch [235/250], Loss: 0.0043
2656.7s 236 Epoch [236/250], Loss: 0.0027
2667.9s 237 Epoch [237/250], Loss: 0.0011
2678.9s 238 Epoch [238/250], Loss: 0.0104
2690.0s 239 Epoch [239/250], Loss: 0.0072
2701.4s 240 Epoch [240/250], Loss: 0.0464
2712.5s 241 Epoch [241/250], Loss: 0.1491
2723.8s 242 Epoch [242/250], Loss: 0.0254
2735.3s 243 Epoch [243/250], Loss: 0.0035
2746.5s 244 Epoch [244/250], Loss: 0.0037
2757.9s 245 Epoch [245/250], Loss: 0.0029
2769.5s 246 Epoch [246/250], Loss: 0.0238
2780.8s 247 Epoch [247/250], Loss: 0.0220
2792.1s 248 Epoch [248/250], Loss: 0.0101
2803.6s 249 Epoch [249/250], Loss: 0.0107
2814.7s 250 Epoch [250/250], Loss: 0.0125
2814.9s 251 I wandered lonely as a man, Stuff'd with the stuff that is coarse and stuff'd with the stuff that is fine, One of the Nation of many nations, the smallest the same and the largest the same, A Southerner soon as a Northerner, a planter nonchalant and hospitable down by the Oconee I live, A
2817.8s 252 /usr/local/lib/python3.10/dist-packages/traitlets/traitlets.py:2915: FutureWarning: --Exporter.preprocessors=["remove_papermill_header.RemovePapermillHeader"] for containers is deprecated in traitlets 5.0. You can pass `--Exporter.preprocessors item` ... multiple times to add items to a list.
2817.8s 253 warn(
2817.8s 254 [NbConvertApp] Converting notebook __notebook__.ipynb to notebook
2818.1s 255 [NbConvertApp] Writing 22310 bytes to __notebook__.ipynb
2819.3s 256 /usr/local/lib/python3.10/dist-packages/traitlets/traitlets.py:2915: FutureWarning: --Exporter.preprocessors=["nbconvert.preprocessors.ExtractOutputPreprocessor"] for containers is deprecated in traitlets 5.0. You can pass `--Exporter.preprocessors item` ... multiple times to add items to a list.
2819.3s 257 warn(
2819.4s 258 [NbConvertApp] Converting notebook __notebook__.ipynb to html
2820.1s 259 [NbConvertApp] Writing 300852 bytes to __results__.html
